abbr,group_id
FGA/AVF,1
PdA/PST,1
POCH,1
PSA,1
Sol.,1
SP/PS,2
GPS/PES,3
EVP/PEV,4
GLP/PVL,5
BDP/PBD,6
CSP/PCS,7
LdU/AdI,7
Sep./Sép.,7
Übrige/Autres,7
CVP/PDC,8
FDP/PLR (PRD),9
LPS/PLS,9
Lega,10
SVP/UDC,11
EDU/UDF,12
FPS/PSL,12
MCR,12
Rep./Rép.,12
SD/DS,12
