year,party,support
1975,1,0.004
1975,2,0.023
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.014
1975,8,0.566
1975,9,0.393
1975,10,0
1975,11,0
1975,12,0
1979,1,0.011
1979,2,0.02
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.586
1979,9,0.383
1979,10,0
1979,11,0
1979,12,0
1983,1,0.027
1983,2,0.028
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.588
1983,9,0.356
1983,10,0
1983,11,0
1983,12,0
1987,1,0.032
1987,2,0.019
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.005
1987,8,0.578
1987,9,0.353
1987,10,0
1987,11,0
1987,12,0.012
1991,1,0
1991,2,0.033
1991,3,0.037
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.56
1991,9,0.362
1991,10,0
1991,11,0
1991,12,0.008
1995,1,0.002
1995,2,0.047
1995,3,0.032
1995,4,0
1995,5,0
1995,6,0
1995,7,0.001
1995,8,0.419
1995,9,0.346
1995,10,0
1995,11,0.14
1995,12,0.013
1999,1,0
1999,2,0.049
1999,3,0.027
1999,4,0
1999,5,0
1999,6,0
1999,7,0.009
1999,8,0.384
1999,9,0.332
1999,10,0
1999,11,0.195
1999,12,0.004
2003,1,0
2003,2,0.05
2003,3,0.035
2003,4,0.007
2003,5,0
2003,6,0
2003,7,0.012
2003,8,0.32
2003,9,0.397
2003,10,0
2003,11,0.178
2003,12,0.001
2007,1,0
2007,2,0.039
2007,3,0.036
2007,4,0.008
2007,5,0
2007,6,0
2007,7,0.013
2007,8,0.416
2007,9,0.262
2007,10,0
2007,11,0.226
2007,12,0
2011,1,0
2011,2,0.054
2011,3,0.04
2011,4,0.006
2011,5,0.046
2011,6,0.033
2011,7,0.001
2011,8,0.346
2011,9,0.247
2011,10,0
2011,11,0.227
2011,12,0.001
2015,1,0
2015,2,0.056
2015,3,0.024
2015,4,0.006
2015,5,0.053
2015,6,0.015
2015,7,0.004
2015,8,0.307
2015,9,0.251
2015,10,0
2015,11,0.284
2015,12,0
