year,party,support
1975,1,0
1975,2,0.667
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.187
1975,9,0.127
1975,10,0
1975,11,0.019
1975,12,0
1979,1,0
1979,2,0.492
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.328
1979,9,0.181
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.42
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.357
1983,9,0.182
1983,10,0
1983,11,0.042
1983,12,0
1987,1,0
1987,2,0.234
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.088
1987,8,0.335
1987,9,0.24
1987,10,0
1987,11,0.03
1987,12,0.074
1991,1,0
1991,2,0.314
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.135
1991,8,0.275
1991,9,0.208
1991,10,0
1991,11,0.068
1991,12,0
1995,1,0
1995,2,0.27
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.014
1995,8,0.308
1995,9,0.171
1995,10,0
1995,11,0.155
1995,12,0.082
1999,1,0
1999,2,0.203
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.005
1999,8,0.261
1999,9,0.126
1999,10,0
1999,11,0.406
1999,12,0
2003,1,0
2003,2,0.224
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.16
2003,9,0.107
2003,10,0
2003,11,0.508
2003,12,0
2007,1,0
2007,2,0.168
2007,3,0.043
2007,4,0.009
2007,5,0
2007,6,0
2007,7,0
2007,8,0.15
2007,9,0.114
2007,10,0
2007,11,0.515
2007,12,0
2011,1,0
2011,2,0.187
2011,3,0.048
2011,4,0.006
2011,5,0
2011,6,0.039
2011,7,0.01
2011,8,0.138
2011,9,0.114
2011,10,0
2011,11,0.458
2011,12,0
2015,1,0
2015,2,0.161
2015,3,0.013
2015,4,0
2015,5,0.029
2015,6,0
2015,7,0
2015,8,0.136
2015,9,0.163
2015,10,0
2015,11,0.498
2015,12,0
