year,party,support
1975,1,0.01
1975,2,0.074
1975,3,0
1975,4,0.001
1975,5,0
1975,6,0
1975,7,0.069
1975,8,0.576
1975,9,0.205
1975,10,0
1975,11,0.059
1975,12,0.006
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.172
1979,8,0.591
1979,9,0.237
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.113
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.229
1983,8,0.415
1983,9,0.239
1983,10,0
1983,11,0.004
1983,12,0
1987,1,0
1987,2,0.122
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.029
1987,8,0.548
1987,9,0.301
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.12
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.574
1991,9,0.306
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0.212
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.54
1995,9,0.248
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.213
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.626
1999,9,0.124
1999,10,0
1999,11,0.037
1999,12,0
2003,1,0
2003,2,0.228
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.566
2003,9,0.107
2003,10,0
2003,11,0.081
2003,12,0.018
2007,1,0
2007,2,0.323
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.114
2007,8,0.373
2007,9,0.082
2007,10,0
2007,11,0.108
2007,12,0
2011,1,0
2011,2,0.233
2011,3,0.092
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0.495
2011,9,0.072
2011,10,0
2011,11,0.108
2011,12,0
2015,1,0.016
2015,2,0.187
2015,3,0.089
2015,4,0
2015,5,0
2015,6,0
2015,7,0.039
2015,8,0.445
2015,9,0.098
2015,10,0
2015,11,0.127
2015,12,0
