year,party,support
1975,1,0.046
1975,2,0.201
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.235
1975,8,0.378
1975,9,0.038
1975,10,0
1975,11,0.104
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.485
1979,8,0.476
1979,9,0.039
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.274
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.181
1983,8,0.456
1983,9,0.089
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0.368
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.056
1987,8,0.455
1987,9,0.121
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.471
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.382
1991,9,0.147
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0.509
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.39
1995,9,0.101
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.46
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.436
1999,9,0.04
1999,10,0
1999,11,0.064
1999,12,0
2003,1,0
2003,2,0.375
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.5
2003,9,0.049
2003,10,0
2003,11,0.061
2003,12,0.015
2007,1,0
2007,2,0.491
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.056
2007,8,0.322
2007,9,0.071
2007,10,0
2007,11,0.06
2007,12,0
2011,1,0
2011,2,0.272
2011,3,0.139
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0.343
2011,9,0.016
2011,10,0
2011,11,0.23
2011,12,0
2015,1,0.078
2015,2,0.221
2015,3,0.057
2015,4,0
2015,5,0
2015,6,0
2015,7,0.075
2015,8,0.262
2015,9,0.122
2015,10,0
2015,11,0.184
2015,12,0
