year,party,support
1975,1,0
1975,2,0
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,0
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0
1979,9,0
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0
1983,9,0
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.156
1999,3,0.038
1999,4,0.026
1999,5,0
1999,6,0
1999,7,0.037
1999,8,0.046
1999,9,0.193
1999,10,0
1999,11,0.445
1999,12,0.058
2003,1,0
2003,2,0.127
2003,3,0.083
2003,4,0.016
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.071
2003,9,0.09
2003,10,0
2003,11,0.583
2003,12,0.028
2007,1,0
2007,2,0.1
2007,3,0.08
2007,4,0.03
2007,5,0
2007,6,0
2007,7,0.017
2007,8,0.087
2007,9,0.093
2007,10,0
2007,11,0.541
2007,12,0.053
2011,1,0
2011,2,0.093
2011,3,0.06
2011,4,0.039
2011,5,0.059
2011,6,0.063
2011,7,0
2011,8,0.046
2011,9,0.09
2011,10,0
2011,11,0.507
2011,12,0.042
2015,1,0
2015,2,0.146
2015,3,0.044
2015,4,0.026
2015,5,0.051
2015,6,0.04
2015,7,0.002
2015,8,0.053
2015,9,0.11
2015,10,0
2015,11,0.493
2015,12,0.035
