year,party,support
1975,1,0
1975,2,0.239
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.744
1975,9,0.006
1975,10,0
1975,11,0.011
1975,12,0
1979,1,0
1979,2,0.029
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.881
1979,9,0.09
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.02
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.889
1983,9,0.069
1983,10,0
1983,11,0.022
1983,12,0
1987,1,0
1987,2,0.012
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.034
1987,8,0.832
1987,9,0.043
1987,10,0
1987,11,0.058
1987,12,0.021
1991,1,0
1991,2,0.04
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.12
1991,8,0.741
1991,9,0.075
1991,10,0
1991,11,0.024
1991,12,0
1995,1,0
1995,2,0.061
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.008
1995,8,0.436
1995,9,0.107
1995,10,0
1995,11,0.367
1995,12,0.022
1999,1,0
1999,2,0.072
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.007
1999,8,0.383
1999,9,0.015
1999,10,0
1999,11,0.523
1999,12,0
2003,1,0
2003,2,0.042
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.39
2003,9,0.041
2003,10,0
2003,11,0.527
2003,12,0
2007,1,0
2007,2,0.055
2007,3,0.015
2007,4,0.01
2007,5,0
2007,6,0
2007,7,0
2007,8,0.364
2007,9,0.017
2007,10,0
2007,11,0.539
2007,12,0
2011,1,0
2011,2,0.079
2011,3,0.026
2011,4,0.019
2011,5,0
2011,6,0.041
2011,7,0.007
2011,8,0.364
2011,9,0.035
2011,10,0
2011,11,0.429
2011,12,0
2015,1,0
2015,2,0.046
2015,3,0.007
2015,4,0
2015,5,0.02
2015,6,0
2015,7,0
2015,8,0.249
2015,9,0.098
2015,10,0
2015,11,0.581
2015,12,0
