year,party,support
1975,1,0
1975,2,0.113
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.002
1975,8,0.885
1975,9,0
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0.042
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.161
1979,8,0.71
1979,9,0.087
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.24
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.661
1983,9,0.098
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0.427
1987,3,0.008
1987,4,0
1987,5,0
1987,6,0
1987,7,0.005
1987,8,0.521
1987,9,0.038
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.293
1991,3,0.003
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.654
1991,9,0.05
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0.347
1995,3,0.005
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.589
1995,9,0.059
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.235
1999,3,0.001
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.635
1999,9,0.044
1999,10,0
1999,11,0.085
1999,12,0
2003,1,0
2003,2,0.311
2003,3,0.003
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.569
2003,9,0.03
2003,10,0
2003,11,0.088
2003,12,0
2007,1,0
2007,2,0.231
2007,3,0.005
2007,4,0
2007,5,0
2007,6,0
2007,7,0.005
2007,8,0.581
2007,9,0.03
2007,10,0
2007,11,0.147
2007,12,0
2011,1,0
2011,2,0.115
2011,3,0.018
2011,4,0
2011,5,0
2011,6,0.001
2011,7,0
2011,8,0.637
2011,9,0.034
2011,10,0
2011,11,0.195
2011,12,0
2015,1,0
2015,2,0.12
2015,3,0.011
2015,4,0
2015,5,0
2015,6,0
2015,7,0.001
2015,8,0.542
2015,9,0.028
2015,10,0
2015,11,0.299
2015,12,0
