year,party,support
1975,1,0
1975,2,0.111
1975,3,0
1975,4,0.123
1975,5,0
1975,6,0
1975,7,0.075
1975,8,0.002
1975,9,0.097
1975,10,0
1975,11,0.558
1975,12,0.034
1979,1,0.024
1979,2,0.115
1979,3,0
1979,4,0.087
1979,5,0
1979,6,0
1979,7,0.047
1979,8,0
1979,9,0.053
1979,10,0
1979,11,0.603
1979,12,0.071
1983,1,0.017
1983,2,0.088
1983,3,0
1983,4,0.145
1983,5,0
1983,6,0
1983,7,0.027
1983,8,0.002
1983,9,0.088
1983,10,0
1983,11,0.556
1983,12,0.077
1987,1,0.033
1987,2,0.103
1987,3,0.05
1987,4,0.125
1987,5,0
1987,6,0
1987,7,0.1
1987,8,0
1987,9,0.014
1987,10,0
1987,11,0.446
1987,12,0.129
1991,1,0.009
1991,2,0.071
1991,3,0.028
1991,4,0.083
1991,5,0
1991,6,0
1991,7,0.033
1991,8,0.001
1991,9,0.043
1991,10,0
1991,11,0.398
1991,12,0.335
1995,1,0.016
1995,2,0.056
1995,3,0.002
1995,4,0.127
1995,5,0
1995,6,0
1995,7,0.041
1995,8,0.026
1995,9,0.038
1995,10,0
1995,11,0.411
1995,12,0.283
1999,1,0
1999,2,0.095
1999,3,0.006
1999,4,0.099
1999,5,0
1999,6,0
1999,7,0.007
1999,8,0
1999,9,0.111
1999,10,0
1999,11,0.405
1999,12,0.276
2003,1,0
2003,2,0.093
2003,3,0.026
2003,4,0.114
2003,5,0
2003,6,0
2003,7,0
2003,8,0.001
2003,9,0.045
2003,10,0
2003,11,0.522
2003,12,0.198
2007,1,0
2007,2,0.062
2007,3,0.048
2007,4,0.068
2007,5,0
2007,6,0
2007,7,0.002
2007,8,0.016
2007,9,0.074
2007,10,0
2007,11,0.591
2007,12,0.14
2011,1,0.001
2011,2,0.038
2011,3,0.042
2011,4,0.033
2011,5,0.02
2011,6,0.167
2011,7,0.02
2011,8,0.008
2011,9,0.029
2011,10,0
2011,11,0.537
2011,12,0.104
2015,1,0
2015,2,0.042
2015,3,0.035
2015,4,0.067
2015,5,0.029
2015,6,0.099
2015,7,0
2015,8,0.013
2015,9,0.008
2015,10,0
2015,11,0.623
2015,12,0.084
