year,party,support
1975,1,0.003
1975,2,0.064
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.032
1975,8,0.665
1975,9,0.181
1975,10,0
1975,11,0
1975,12,0.055
1979,1,0
1979,2,0.084
1979,3,0
1979,4,0.008
1979,5,0
1979,6,0
1979,7,0.027
1979,8,0.659
1979,9,0.221
1979,10,0
1979,11,0
1979,12,0
1983,1,0.026
1983,2,0.081
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.052
1983,8,0.613
1983,9,0.211
1983,10,0
1983,11,0.017
1983,12,0
1987,1,0.05
1987,2,0.044
1987,3,0
1987,4,0.016
1987,5,0
1987,6,0
1987,7,0.055
1987,8,0.587
1987,9,0.204
1987,10,0
1987,11,0
1987,12,0.043
1991,1,0
1991,2,0.063
1991,3,0.048
1991,4,0
1991,5,0
1991,6,0
1991,7,0.048
1991,8,0.511
1991,9,0.199
1991,10,0
1991,11,0
1991,12,0.132
1995,1,0
1995,2,0.095
1995,3,0.041
1995,4,0.008
1995,5,0
1995,6,0
1995,7,0.051
1995,8,0.465
1995,9,0.133
1995,10,0
1995,11,0.085
1995,12,0.122
1999,1,0
1999,2,0.11
1999,3,0.031
1999,4,0.008
1999,5,0
1999,6,0
1999,7,0.027
1999,8,0.34
1999,9,0.154
1999,10,0
1999,11,0.3
1999,12,0.029
2003,1,0
2003,2,0.11
2003,3,0.051
2003,4,0.013
2003,5,0
2003,6,0
2003,7,0.02
2003,8,0.291
2003,9,0.11
2003,10,0
2003,11,0.384
2003,12,0.022
2007,1,0
2007,2,0.073
2007,3,0.049
2007,4,0.016
2007,5,0.011
2007,6,0
2007,7,0.009
2007,8,0.302
2007,9,0.128
2007,10,0
2007,11,0.385
2007,12,0.026
2011,1,0
2011,2,0.096
2011,3,0.039
2011,4,0.01
2011,5,0.032
2011,6,0.033
2011,7,0
2011,8,0.3
2011,9,0.107
2011,10,0
2011,11,0.362
2011,12,0.022
2015,1,0
2015,2,0.074
2015,3,0.035
2015,4,0.012
2015,5,0.024
2015,6,0.031
2015,7,0.014
2015,8,0.236
2015,9,0.121
2015,10,0
2015,11,0.426
2015,12,0.027
