year,party,support
1975,1,0
1975,2,0.215
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.012
1975,8,0.528
1975,9,0.245
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0.13
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.017
1979,8,0.485
1979,9,0.368
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.148
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.029
1983,8,0.425
1983,9,0.398
1983,10,0
1983,11,0
1983,12,0
1987,1,0.06
1987,2,0.111
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.016
1987,8,0.405
1987,9,0.407
1987,10,0
1987,11,0
1987,12,0
1991,1,0.066
1991,2,0.088
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.072
1991,8,0.411
1991,9,0.364
1991,10,0
1991,11,0
1991,12,0
1995,1,0.074
1995,2,0.118
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.072
1995,8,0.286
1995,9,0.281
1995,10,0
1995,11,0.169
1995,12,0
1999,1,0
1999,2,0.137
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.034
1999,8,0.298
1999,9,0.236
1999,10,0
1999,11,0.295
1999,12,0
2003,1,0.099
2003,2,0.084
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.213
2003,9,0.243
2003,10,0
2003,11,0.361
2003,12,0
2007,1,0
2007,2,0.049
2007,3,0.124
2007,4,0
2007,5,0
2007,6,0
2007,7,0
2007,8,0.187
2007,9,0.308
2007,10,0
2007,11,0.331
2007,12,0
2011,1,0
2011,2,0.036
2011,3,0.114
2011,4,0
2011,5,0.043
2011,6,0
2011,7,0.006
2011,8,0.248
2011,9,0.206
2011,10,0
2011,11,0.346
2011,12,0
2015,1,0
2015,2,0.106
2015,3,0.042
2015,4,0
2015,5,0.027
2015,6,0
2015,7,0.004
2015,8,0.287
2015,9,0.196
2015,10,0
2015,11,0.338
2015,12,0
