year,party,support
1975,1,0
1975,2,0.04
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.029
1975,8,0.193
1975,9,0.056
1975,10,0
1975,11,0.625
1975,12,0.056
1979,1,0
1979,2,0.074
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.043
1979,8,0.197
1979,9,0.1
1979,10,0
1979,11,0.558
1979,12,0.029
1983,1,0
1983,2,0.052
1983,3,0.04
1983,4,0.052
1983,5,0
1983,6,0
1983,7,0.021
1983,8,0.188
1983,9,0.071
1983,10,0
1983,11,0.562
1983,12,0.013
1987,1,0
1987,2,0.043
1987,3,0.067
1987,4,0
1987,5,0
1987,6,0
1987,7,0.071
1987,8,0.178
1987,9,0.097
1987,10,0
1987,11,0.493
1987,12,0.05
1991,1,0
1991,2,0.05
1991,3,0.052
1991,4,0.029
1991,5,0
1991,6,0
1991,7,0.039
1991,8,0.262
1991,9,0.086
1991,10,0
1991,11,0.376
1991,12,0.104
1995,1,0
1995,2,0.101
1995,3,0.065
1995,4,0.023
1995,5,0
1995,6,0
1995,7,0.01
1995,8,0.217
1995,9,0.062
1995,10,0
1995,11,0.429
1995,12,0.093
1999,1,0
1999,2,0.079
1999,3,0.034
1999,4,0.025
1999,5,0
1999,6,0
1999,7,0.039
1999,8,0.13
1999,9,0.09
1999,10,0
1999,11,0.544
1999,12,0.057
2003,1,0
2003,2,0.07
2003,3,0.05
2003,4,0.033
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0.121
2003,9,0.071
2003,10,0
2003,11,0.607
2003,12,0.045
2007,1,0
2007,2,0.053
2007,3,0.095
2007,4,0.027
2007,5,0
2007,6,0
2007,7,0.008
2007,8,0.107
2007,9,0.087
2007,10,0
2007,11,0.579
2007,12,0.044
2011,1,0
2011,2,0.063
2011,3,0.068
2011,4,0.032
2011,5,0.044
2011,6,0.048
2011,7,0
2011,8,0.106
2011,9,0.094
2011,10,0
2011,11,0.481
2011,12,0.064
2015,1,0
2015,2,0.064
2015,3,0.036
2015,4,0.019
2015,5,0.029
2015,6,0.067
2015,7,0.004
2015,8,0.098
2015,9,0.07
2015,10,0
2015,11,0.523
2015,12,0.088
