year,party,support
1975,1,0
1975,2,0.298
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.006
1975,8,0.464
1975,9,0.232
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0.217
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.022
1979,8,0.524
1979,9,0.238
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.263
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.008
1983,8,0.467
1983,9,0.262
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0.236
1987,3,0.036
1987,4,0
1987,5,0
1987,6,0
1987,7,0.019
1987,8,0.481
1987,9,0.228
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.208
1991,3,0.016
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.45
1991,9,0.326
1991,10,0
1991,11,0
1991,12,0
1995,1,0.014
1995,2,0.206
1995,3,0.025
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.449
1995,9,0.307
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.21
1999,3,0.046
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.433
1999,9,0.201
1999,10,0
1999,11,0.11
1999,12,0
2003,1,0
2003,2,0.253
2003,3,0.034
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.388
2003,9,0.15
2003,10,0
2003,11,0.174
2003,12,0
2007,1,0
2007,2,0.163
2007,3,0.062
2007,4,0
2007,5,0
2007,6,0
2007,7,0.023
2007,8,0.381
2007,9,0.153
2007,10,0
2007,11,0.219
2007,12,0
2011,1,0
2011,2,0.119
2011,3,0.072
2011,4,0
2011,5,0
2011,6,0.009
2011,7,0.011
2011,8,0.363
2011,9,0.202
2011,10,0
2011,11,0.224
2011,12,0
2015,1,0
2015,2,0.165
2015,3,0.045
2015,4,0
2015,5,0
2015,6,0
2015,7,0.024
2015,8,0.385
2015,9,0.173
2015,10,0
2015,11,0.208
2015,12,0
