year,party,support
1975,1,0
1975,2,0.047
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.952
1975,9,0.001
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0.018
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.085
1979,8,0.835
1979,9,0.062
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.043
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.001
1983,8,0.926
1983,9,0.031
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0.153
1987,3,0.003
1987,4,0
1987,5,0
1987,6,0
1987,7,0.006
1987,8,0.826
1987,9,0.011
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.093
1991,3,0.006
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.89
1991,9,0.012
1991,10,0
1991,11,0
1991,12,0
1995,1,0.002
1995,2,0.126
1995,3,0.002
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.834
1995,9,0.035
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.143
1999,3,0.006
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.659
1999,9,0.03
1999,10,0
1999,11,0.163
1999,12,0
2003,1,0
2003,2,0.288
2003,3,0.003
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.581
2003,9,0.013
2003,10,0
2003,11,0.116
2003,12,0
2007,1,0
2007,2,0.074
2007,3,0.008
2007,4,0
2007,5,0
2007,6,0
2007,7,0.005
2007,8,0.697
2007,9,0.009
2007,10,0
2007,11,0.209
2007,12,0
2011,1,0
2011,2,0.052
2011,3,0.019
2011,4,0
2011,5,0
2011,6,0.005
2011,7,0
2011,8,0.451
2011,9,0.022
2011,10,0
2011,11,0.451
2011,12,0
2015,1,0
2015,2,0.05
2015,3,0.011
2015,4,0
2015,5,0
2015,6,0
2015,7,0.003
2015,8,0.49
2015,9,0.018
2015,10,0
2015,11,0.429
2015,12,0
