year,party,support
1975,1,0
1975,2,0.09
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,0.337
1975,10,0
1975,11,0.573
1975,12,0
1979,1,0
1979,2,0.226
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.087
1979,9,0.296
1979,10,0
1979,11,0.391
1979,12,0
1983,1,0
1983,2,0.364
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0
1983,9,0.091
1983,10,0
1983,11,0.545
1983,12,0
1987,1,0
1987,2,0.204
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0.02
1987,9,0.429
1987,10,0
1987,11,0.347
1987,12,0
1991,1,0.027
1991,2,0.027
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.135
1991,8,0.054
1991,9,0.297
1991,10,0
1991,11,0.459
1991,12,0
1995,1,0
1995,2,0.27
1995,3,0.122
1995,4,0
1995,5,0
1995,6,0
1995,7,0.027
1995,8,0.162
1995,9,0.041
1995,10,0
1995,11,0.378
1995,12,0
1999,1,0
1999,2,0.184
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.072
1999,8,0.04
1999,9,0.152
1999,10,0
1999,11,0.552
1999,12,0
2003,1,0
2003,2,0.137
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.063
2003,9,0.305
2003,10,0
2003,11,0.495
2003,12,0
2007,1,0
2007,2,0.111
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.011
2007,8,0.1
2007,9,0.111
2007,10,0
2007,11,0.656
2007,12,0.011
2011,1,0
2011,2,0.086
2011,3,0
2011,4,0
2011,5,0.161
2011,6,0.28
2011,7,0
2011,8,0.065
2011,9,0.075
2011,10,0
2011,11,0.333
2011,12,0
2015,1,0
2015,2,0.15
2015,3,0
2015,4,0
2015,5,0.075
2015,6,0.117
2015,7,0.017
2015,8,0.108
2015,9,0.108
2015,10,0
2015,11,0.425
2015,12,0
