year,party,support
1975,1,0.007
1975,2,0.314
1975,3,0
1975,4,0.007
1975,5,0
1975,6,0
1975,7,0.132
1975,8,0.262
1975,9,0.229
1975,10,0
1975,11,0.049
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.359
1979,8,0.29
1979,9,0.351
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.284
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.162
1983,8,0.224
1983,9,0.307
1983,10,0
1983,11,0.023
1983,12,0
1987,1,0
1987,2,0.357
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.123
1987,8,0.21
1987,9,0.31
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.407
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.312
1991,9,0.281
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0.371
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.306
1995,9,0.322
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.359
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.248
1999,9,0.24
1999,10,0
1999,11,0.153
1999,12,0
2003,1,0
2003,2,0.357
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.335
2003,9,0.125
2003,10,0
2003,11,0.162
2003,12,0.022
2007,1,0
2007,2,0.281
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.14
2007,8,0.215
2007,9,0.083
2007,10,0
2007,11,0.281
2007,12,0
2011,1,0
2011,2,0.262
2011,3,0.084
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0.287
2011,9,0.08
2011,10,0
2011,11,0.287
2011,12,0
2015,1,0.049
2015,2,0.156
2015,3,0.058
2015,4,0
2015,5,0
2015,6,0
2015,7,0.095
2015,8,0.173
2015,9,0.055
2015,10,0
2015,11,0.413
2015,12,0
