year,party,support
1975,1,0.062
1975,2,0.305
1975,3,0
1975,4,0.003
1975,5,0
1975,6,0
1975,7,0.205
1975,8,0.219
1975,9,0.126
1975,10,0
1975,11,0.066
1975,12,0.013
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.467
1979,8,0.324
1979,9,0.208
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.305
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.296
1983,8,0.202
1983,9,0.183
1983,10,0
1983,11,0.014
1983,12,0
1987,1,0
1987,2,0.411
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.106
1987,8,0.303
1987,9,0.18
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.403
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.334
1991,9,0.262
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0.472
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.298
1995,9,0.23
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.496
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.313
1999,9,0.122
1999,10,0
1999,11,0.068
1999,12,0
2003,1,0
2003,2,0.397
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.377
2003,9,0.132
2003,10,0
2003,11,0.074
2003,12,0.019
2007,1,0
2007,2,0.438
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.104
2007,8,0.226
2007,9,0.102
2007,10,0
2007,11,0.131
2007,12,0
2011,1,0
2011,2,0.365
2011,3,0.09
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0.326
2011,9,0.077
2011,10,0
2011,11,0.142
2011,12,0
2015,1,0.054
2015,2,0.312
2015,3,0.069
2015,4,0
2015,5,0
2015,6,0
2015,7,0.096
2015,8,0.214
2015,9,0.124
2015,10,0
2015,11,0.13
2015,12,0
