year,party,support
1975,1,0
1975,2,0.184
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.603
1975,9,0.201
1975,10,0
1975,11,0.012
1975,12,0
1979,1,0
1979,2,0.126
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.575
1979,9,0.298
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.145
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.531
1983,9,0.281
1983,10,0
1983,11,0.043
1983,12,0
1987,1,0
1987,2,0.083
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.195
1987,8,0.389
1987,9,0.218
1987,10,0
1987,11,0.038
1987,12,0.076
1991,1,0
1991,2,0.158
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.133
1991,8,0.44
1991,9,0.233
1991,10,0
1991,11,0.036
1991,12,0
1995,1,0
1995,2,0.185
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.005
1995,8,0.343
1995,9,0.293
1995,10,0
1995,11,0.128
1995,12,0.046
1999,1,0
1999,2,0.151
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0.008
1999,8,0.418
1999,9,0.168
1999,10,0
1999,11,0.256
1999,12,0
2003,1,0
2003,2,0.168
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.324
2003,9,0.155
2003,10,0
2003,11,0.352
2003,12,0
2007,1,0
2007,2,0.121
2007,3,0.04
2007,4,0.005
2007,5,0
2007,6,0
2007,7,0
2007,8,0.256
2007,9,0.216
2007,10,0
2007,11,0.363
2007,12,0
2011,1,0
2011,2,0.151
2011,3,0.043
2011,4,0.005
2011,5,0
2011,6,0.039
2011,7,0.037
2011,8,0.175
2011,9,0.242
2011,10,0
2011,11,0.307
2011,12,0
2015,1,0
2015,2,0.11
2015,3,0.017
2015,4,0
2015,5,0.038
2015,6,0
2015,7,0
2015,8,0.206
2015,9,0.329
2015,10,0
2015,11,0.299
2015,12,0
