year,party,support
1975,1,0
1975,2,0.277
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.209
1975,9,0.514
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0
1979,9,0
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.351
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.185
1983,8,0.142
1983,9,0.321
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.362
1991,8,0.109
1991,9,0.344
1991,10,0
1991,11,0
1991,12,0.185
1995,1,0
1995,2,0.196
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.011
1995,8,0.039
1995,9,0.274
1995,10,0
1995,11,0.461
1995,12,0.018
1999,1,0
1999,2,0.272
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0.217
1999,10,0
1999,11,0.511
1999,12,0
2003,1,0
2003,2,0.144
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0.002
2003,8,0
2003,9,0.279
2003,10,0
2003,11,0.574
2003,12,0
2007,1,0
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.266
2007,8,0
2007,9,0.734
2007,10,0
2007,11,0
2007,12,0
2011,1,0
2011,2,0
2011,3,0.051
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0.074
2011,9,0.391
2011,10,0
2011,11,0.484
2011,12,0
2015,1,0
2015,2,0.17
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0.008
2015,8,0
2015,9,0.207
2015,10,0
2015,11,0.615
2015,12,0
