year,party,support
1975,1,0.011
1975,2,0.128
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.004
1975,8,0.648
1975,9,0.21
1975,10,0
1975,11,0
1975,12,0
1979,1,0.013
1979,2,0.093
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.683
1979,9,0.21
1979,10,0
1979,11,0
1979,12,0
1983,1,0.011
1983,2,0.087
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.016
1983,8,0.676
1983,9,0.21
1983,10,0
1983,11,0
1983,12,0
1987,1,0.001
1987,2,0.09
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.047
1987,8,0.611
1987,9,0.215
1987,10,0
1987,11,0
1987,12,0.036
1991,1,0
1991,2,0.086
1991,3,0.031
1991,4,0.004
1991,5,0
1991,6,0
1991,7,0.038
1991,8,0.579
1991,9,0.201
1991,10,0
1991,11,0
1991,12,0.06
1995,1,0
1995,2,0.071
1995,3,0.021
1995,4,0
1995,5,0
1995,6,0
1995,7,0.021
1995,8,0.56
1995,9,0.147
1995,10,0
1995,11,0.057
1995,12,0.123
1999,1,0
1999,2,0.078
1999,3,0.016
1999,4,0
1999,5,0
1999,6,0
1999,7,0.006
1999,8,0.502
1999,9,0.152
1999,10,0
1999,11,0.238
1999,12,0.009
2003,1,0
2003,2,0.074
2003,3,0.013
2003,4,0.006
2003,5,0
2003,6,0
2003,7,0
2003,8,0.516
2003,9,0.142
2003,10,0
2003,11,0.249
2003,12,0
2007,1,0
2007,2,0.071
2007,3,0.021
2007,4,0.007
2007,5,0
2007,6,0
2007,7,0
2007,8,0.418
2007,9,0.119
2007,10,0
2007,11,0.363
2007,12,0.001
2011,1,0
2011,2,0.049
2011,3,0.016
2011,4,0.006
2011,5,0.019
2011,6,0.016
2011,7,0.012
2011,8,0.374
2011,9,0.115
2011,10,0
2011,11,0.386
2011,12,0.006
2015,1,0
2015,2,0.063
2015,3,0.014
2015,4,0.001
2015,5,0.011
2015,6,0.021
2015,7,0.01
2015,8,0.337
2015,9,0.128
2015,10,0
2015,11,0.411
2015,12,0.005
