year,party,support
1975,1,0
1975,2,0.051
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.013
1975,8,0.93
1975,9,0.005
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0.006
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.055
1979,8,0.906
1979,9,0.033
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.075
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.007
1983,8,0.883
1983,9,0.035
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0.255
1987,3,0.011
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0.71
1987,9,0.023
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0.186
1991,3,0.003
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.797
1991,9,0.014
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0.255
1995,3,0.003
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.721
1995,9,0.02
1995,10,0
1995,11,0
1995,12,0
1999,1,0
1999,2,0.12
1999,3,0.001
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.829
1999,9,0.024
1999,10,0
1999,11,0.026
1999,12,0
2003,1,0
2003,2,0.169
2003,3,0.006
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.717
2003,9,0.023
2003,10,0
2003,11,0.085
2003,12,0
2007,1,0
2007,2,0.094
2007,3,0.014
2007,4,0
2007,5,0
2007,6,0
2007,7,0.012
2007,8,0.79
2007,9,0.018
2007,10,0
2007,11,0.074
2007,12,0
2011,1,0
2011,2,0.085
2011,3,0.017
2011,4,0
2011,5,0
2011,6,0
2011,7,0.001
2011,8,0.731
2011,9,0.023
2011,10,0
2011,11,0.142
2011,12,0
2015,1,0
2015,2,0.092
2015,3,0.018
2015,4,0
2015,5,0
2015,6,0
2015,7,0.001
2015,8,0.699
2015,9,0.034
2015,10,0
2015,11,0.157
2015,12,0
