year,party,support
1975,1,0.111
1975,2,0.179
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.248
1975,9,0.463
1975,10,0
1975,11,0
1975,12,0
1979,1,0.188
1979,2,0.203
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.17
1979,9,0.363
1979,10,0
1979,11,0.075
1979,12,0
1983,1,0.11
1983,2,0.221
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.02
1983,8,0.142
1983,9,0.466
1983,10,0
1983,11,0.041
1983,12,0
1987,1,0.096
1987,2,0.228
1987,3,0.026
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0.265
1987,9,0.338
1987,10,0
1987,11,0.046
1987,12,0
1991,1,0.063
1991,2,0.159
1991,3,0.083
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0.152
1991,9,0.289
1991,10,0.209
1991,11,0.045
1991,12,0
1995,1,0.003
1995,2,0.241
1995,3,0.135
1995,4,0
1995,5,0
1995,6,0
1995,7,0.026
1995,8,0.148
1995,9,0.383
1995,10,0.005
1995,11,0.06
1995,12,0
1999,1,0.004
1999,2,0.246
1999,3,0.092
1999,4,0.002
1999,5,0
1999,6,0
1999,7,0.006
1999,8,0.112
1999,9,0.413
1999,10,0.056
1999,11,0.069
1999,12,0
2003,1,0
2003,2,0.338
2003,3,0.159
2003,4,0
2003,5,0
2003,6,0
2003,7,0.006
2003,8,0.038
2003,9,0.384
2003,10,0.002
2003,11,0.074
2003,12,0
2007,1,0.029
2007,2,0.301
2007,3,0.115
2007,4,0
2007,5,0
2007,6,0
2007,7,0.02
2007,8,0.057
2007,9,0.364
2007,10,0.059
2007,11,0.054
2007,12,0
2011,1,0.034
2011,2,0.292
2011,3,0.144
2011,4,0
2011,5,0
2011,6,0
2011,7,0.052
2011,8,0.052
2011,9,0.219
2011,10,0.096
2011,11,0.11
2011,12,0
2015,1,0.001
2015,2,0.322
2015,3,0.068
2015,4,0
2015,5,0.045
2015,6,0
2015,7,0.032
2015,8,0.096
2015,9,0.192
2015,10,0.138
2015,11,0.107
2015,12,0
