year,party,support
1975,1,0.006
1975,2,0.057
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.021
1975,8,0.68
1975,9,0.236
1975,10,0
1975,11,0
1975,12,0
1979,1,0.016
1979,2,0.056
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.004
1979,8,0.695
1979,9,0.229
1979,10,0
1979,11,0
1979,12,0
1983,1,0.029
1983,2,0.056
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.003
1983,8,0.711
1983,9,0.199
1983,10,0
1983,11,0
1983,12,0.003
1987,1,0.067
1987,2,0.036
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.003
1987,8,0.634
1987,9,0.222
1987,10,0
1987,11,0
1987,12,0.038
1991,1,0
1991,2,0.049
1991,3,0.051
1991,4,0
1991,5,0
1991,6,0
1991,7,0.003
1991,8,0.646
1991,9,0.223
1991,10,0
1991,11,0
1991,12,0.028
1995,1,0.007
1995,2,0.036
1995,3,0.041
1995,4,0
1995,5,0
1995,6,0
1995,7,0.003
1995,8,0.503
1995,9,0.221
1995,10,0
1995,11,0.162
1995,12,0.026
1999,1,0
1999,2,0.04
1999,3,0.046
1999,4,0
1999,5,0
1999,6,0
1999,7,0.011
1999,8,0.455
1999,9,0.201
1999,10,0
1999,11,0.238
1999,12,0.009
2003,1,0
2003,2,0.039
2003,3,0.049
2003,4,0.009
2003,5,0
2003,6,0
2003,7,0.023
2003,8,0.414
2003,9,0.185
2003,10,0
2003,11,0.277
2003,12,0.002
2007,1,0
2007,2,0.045
2007,3,0.043
2007,4,0.005
2007,5,0
2007,6,0
2007,7,0.011
2007,8,0.424
2007,9,0.154
2007,10,0
2007,11,0.317
2007,12,0
2011,1,0
2011,2,0.042
2011,3,0.041
2011,4,0.008
2011,5,0.021
2011,6,0.015
2011,7,0.006
2011,8,0.385
2011,9,0.128
2011,10,0
2011,11,0.35
2011,12,0.004
2015,1,0
2015,2,0.045
2015,3,0.033
2015,4,0.011
2015,5,0.022
2015,6,0.015
2015,7,0.012
2015,8,0.304
2015,9,0.12
2015,10,0
2015,11,0.437
2015,12,0.001
