year,party,support
1975,1,0
1975,2,0.043
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.799
1975,9,0.158
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0.728
1979,9,0.099
1979,10,0
1979,11,0.173
1979,12,0
1983,1,0
1983,2,0
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0
1983,8,0.648
1983,9,0.176
1983,10,0
1983,11,0.176
1983,12,0
1987,1,0.037
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0.713
1987,9,0.074
1987,10,0
1987,11,0.176
1987,12,0
1991,1,0.158
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.038
1991,8,0.504
1991,9,0.188
1991,10,0
1991,11,0.113
1991,12,0
1995,1,0.004
1995,2,0.186
1995,3,0.106
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0.564
1995,9,0.097
1995,10,0.004
1995,11,0.038
1995,12,0
1999,1,0
1999,2,0.192
1999,3,0.01
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0.534
1999,9,0.12
1999,10,0.048
1999,11,0.096
1999,12,0
2003,1,0
2003,2,0.258
2003,3,0.019
2003,4,0
2003,5,0
2003,6,0
2003,7,0.038
2003,8,0.451
2003,9,0.117
2003,10,0.005
2003,11,0.113
2003,12,0
2007,1,0.072
2007,2,0.245
2007,3,0.024
2007,4,0
2007,5,0
2007,6,0
2007,7,0.005
2007,8,0.308
2007,9,0.197
2007,10,0.053
2007,11,0.096
2007,12,0
2011,1,0
2011,2,0.038
2011,3,0.077
2011,4,0
2011,5,0
2011,6,0
2011,7,0.135
2011,8,0.321
2011,9,0.083
2011,10,0.167
2011,11,0.179
2011,12,0
2015,1,0
2015,2,0.151
2015,3,0
2015,4,0
2015,5,0.096
2015,6,0
2015,7,0.114
2015,8,0.283
2015,9,0.114
2015,10,0.072
2015,11,0.169
2015,12,0
