GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR
7101;Büsingen am Hochrhein;0;71;71;762;691587;696037;282305;285717;693800;284200;390;487;419;414;417;2691587;2696037;1282305;1285717;2693800;1284200
7301;Campione d'Italia;0;73;73;93;717821;719421;91165;93664;718600;92300;270;595;308;270;270;2717821;2719421;1091165;1093664;2718600;1092300
