year,support,municipality,canton,party
1975,0.368,4551,TG,8
1979,0.461,4551,TG,8
1983,0.364,4551,TG,8
1987,0.303,4551,TG,8
1991,0.212,4551,TG,8
1995,0.207,4551,TG,11
1999,0.3,4551,TG,11
2003,0.376,4551,TG,11
2007,0.417,4551,TG,11
2011,0.404,4551,TG,11
2015,0.403,4551,TG,11
1975,0.29,4001,AG,9
1979,0.32,4001,AG,9
1983,0.292,4001,AG,9
1987,0.273,4001,AG,9
1991,0.219,4001,AG,9
1995,0.256,4001,AG,2
1999,0.268,4001,AG,2
2003,0.299,4001,AG,2
2007,0.269,4001,AG,2
2011,0.264,4001,AG,2
2015,0.265,4001,AG,2
1975,0.382,301,BE,11
1979,0.396,301,BE,11
1983,0.352,301,BE,11
1987,0.352,301,BE,11
1991,0.327,301,BE,11
1995,0.307,301,BE,11
1999,0.286,301,BE,11
2003,0.289,301,BE,11
2007,0.359,301,BE,11
2011,0.333,301,BE,11
2015,0.364,301,BE,11
1975,0.375,4271,AG,2
1979,0.408,4271,AG,2
1983,0.439,4271,AG,2
1987,0.296,4271,AG,2
1991,0.265,4271,AG,2
1995,0.339,4271,AG,2
1999,0.279,4271,AG,11
2003,0.314,4271,AG,11
2007,0.326,4271,AG,11
2011,0.344,4271,AG,11
2015,0.382,4271,AG,11
1975,0.402,321,BE,11
1979,0.39,321,BE,11
1983,0.364,321,BE,11
1987,0.357,321,BE,11
1991,0.313,321,BE,11
1995,0.286,321,BE,11
1999,0.357,321,BE,11
2003,0.35,321,BE,11
2007,0.398,321,BE,11
2011,0.348,321,BE,11
2015,0.381,321,BE,11
1975,0.633,4221,AG,8
1979,0.658,4221,AG,8
1983,0.669,4221,AG,8
1987,0.629,4221,AG,8
1991,0.438,4221,AG,8
1995,0.395,4221,AG,8
1999,0.393,4221,AG,11
2003,0.386,4221,AG,11
2007,0.431,4221,AG,11
2011,0.43,4221,AG,11
2015,0.486,4221,AG,11
1975,0.357,5621,VD,9
1979,0.374,5621,VD,9
1983,0.496,5621,VD,9
1987,0.439,5621,VD,9
1991,0.406,5621,VD,9
1995,0.3,5621,VD,9
1999,0.422,5621,VD,9
2003,0.288,5621,VD,9
2007,0.247,5621,VD,2
2011,0.293,5621,VD,11
2015,0.27,5621,VD,9
1975,0.588,5048,TI,8
1979,0.443,5048,TI,8
1983,0.51,5048,TI,8
1987,0.55,5048,TI,8
1991,0.368,5048,TI,8
1995,0.399,5048,TI,8
1999,0.358,5048,TI,8
2003,0.325,5048,TI,8
2007,0.364,5048,TI,8
2011,0.348,5048,TI,8
2015,0.306,5048,TI,8
1975,0.324,561,BE,11
1979,0.351,561,BE,11
1983,0.416,561,BE,11
1987,0.37,561,BE,11
1991,0.356,561,BE,11
1995,0.359,561,BE,12
1999,0.356,561,BE,11
2003,0.349,561,BE,11
2007,0.383,561,BE,11
2011,0.417,561,BE,11
2015,0.46,561,BE,11
1975,0.561,1051,LU,8
1979,0.492,1051,LU,8
1983,0.427,1051,LU,8
1987,0.379,1051,LU,8
1991,0.359,1051,LU,8
1995,0.262,1051,LU,9
1999,0.248,1051,LU,9
2003,0.218,1051,LU,11
2007,0.236,1051,LU,8
2011,0.227,1051,LU,11
2015,0.277,1051,LU,11
1975,0.696,21,ZH,11
1979,0.747,21,ZH,11
1983,0.613,21,ZH,11
1987,0.63,21,ZH,11
1991,0.62,21,ZH,11
1995,0.612,21,ZH,11
1999,0.692,21,ZH,11
2003,0.608,21,ZH,11
2007,0.53,21,ZH,11
2011,0.557,21,ZH,11
2015,0.568,21,ZH,11
1975,0.214,131,ZH,2
1979,0.23,131,ZH,2
1983,0.216,131,ZH,2
1987,0.217,131,ZH,9
1991,0.206,131,ZH,9
1995,0.268,131,ZH,2
1999,0.313,131,ZH,11
2003,0.333,131,ZH,11
2007,0.362,131,ZH,11
2011,0.321,131,ZH,11
2015,0.334,131,ZH,11
1975,0.575,2421,SO,8
1979,0.631,2421,SO,8
1983,0.558,2421,SO,8
1987,0.579,2421,SO,8
1991,0.562,2421,SO,8
1995,0.599,2421,SO,8
1999,0.495,2421,SO,8
2003,0.532,2421,SO,8
2007,0.542,2421,SO,8
2011,0.492,2421,SO,8
2015,0.459,2421,SO,8
1975,0.5,401,BE,2
1979,0.497,401,BE,2
1983,0.412,401,BE,2
1987,0.411,401,BE,11
1991,0.382,401,BE,11
1995,0.359,401,BE,11
1999,0.394,401,BE,11
2003,0.374,401,BE,11
2007,0.427,401,BE,11
2011,0.421,401,BE,11
2015,0.479,401,BE,11
1975,0.486,731,BE,2
1979,0.49,731,BE,2
1983,0.449,731,BE,2
1987,0.321,731,BE,2
1991,0.245,731,BE,2
1995,0.294,731,BE,2
1999,0.32,731,BE,2
2003,0.345,731,BE,2
2007,0.342,731,BE,11
2011,0.314,731,BE,11
2015,0.389,731,BE,11
1975,0.321,2761,BL,8
1979,0.326,2761,BL,8
1983,0.315,2761,BL,8
1987,0.27,2761,BL,8
1991,0.24,2761,BL,8
1995,0.243,2761,BL,2
1999,0.224,2761,BL,2
2003,0.242,2761,BL,2
2007,0.269,2761,BL,11
2011,0.244,2761,BL,11
2015,0.287,2761,BL,11
1975,0.733,1021,LU,8
1979,0.741,1021,LU,8
1983,0.78,1021,LU,8
1987,0.625,1021,LU,8
1991,0.666,1021,LU,8
1995,0.484,1021,LU,8
1999,0.4,1021,LU,8
2003,0.35,1021,LU,8
2007,0.332,1021,LU,11
2011,0.369,1021,LU,11
2015,0.393,1021,LU,11
1975,0.438,241,ZH,11
1979,0.485,241,ZH,11
1983,0.391,241,ZH,11
1987,0.407,241,ZH,11
1991,0.403,241,ZH,11
1995,0.408,241,ZH,11
1999,0.421,241,ZH,11
2003,0.438,241,ZH,11
2007,0.46,241,ZH,11
2011,0.432,241,ZH,11
2015,0.391,241,ZH,11
1975,0.392,2511,SO,9
1979,0.387,2511,SO,9
1983,0.355,2511,SO,9
1987,0.344,2511,SO,9
1991,0.293,2511,SO,9
1995,0.263,2511,SO,2
1999,0.322,2511,SO,2
2003,0.316,2511,SO,2
2007,0.241,2511,SO,2
2011,0.245,2511,SO,11
2015,0.283,2511,SO,11
1975,0.677,562,BE,11
1979,0.651,562,BE,11
1983,0.606,562,BE,11
1987,0.589,562,BE,11
1991,0.52,562,BE,11
1995,0.448,562,BE,11
1999,0.439,562,BE,11
2003,0.432,562,BE,11
2007,0.448,562,BE,11
2011,0.422,562,BE,11
2015,0.484,562,BE,11
1975,0.427,1,ZH,11
1979,0.393,1,ZH,11
1983,0.33,1,ZH,11
1987,0.289,1,ZH,11
1991,0.278,1,ZH,11
1995,0.283,1,ZH,11
1999,0.297,1,ZH,11
2003,0.33,1,ZH,11
2007,0.327,1,ZH,11
2011,0.287,1,ZH,11
2015,0.309,1,ZH,11
1975,0.473,4711,TG,11
1979,0.454,4711,TG,11
1983,0.36,4711,TG,11
1987,0.342,4711,TG,11
1991,0.354,4711,TG,11
1995,0.369,4711,TG,11
1999,0.473,4711,TG,11
2003,0.526,4711,TG,11
2007,0.57,4711,TG,11
2011,0.546,4711,TG,11
2015,0.537,4711,TG,11
1975,0.179,2,ZH,2
1979,0.223,2,ZH,2
1983,0.212,2,ZH,2
1987,0.242,2,ZH,11
1991,0.331,2,ZH,11
1995,0.31,2,ZH,11
1999,0.374,2,ZH,11
2003,0.372,2,ZH,11
2007,0.375,2,ZH,11
2011,0.319,2,ZH,11
2015,0.338,2,ZH,11
1975,0.75,951,BE,11
1979,0.768,951,BE,11
1983,0.787,951,BE,11
1987,0.716,951,BE,11
1991,0.657,951,BE,11
1995,0.617,951,BE,11
1999,0.55,951,BE,11
2003,0.557,951,BE,11
2007,0.567,951,BE,11
2011,0.497,951,BE,11
2015,0.527,951,BE,11
2011,0.252,NA,NA,11
2015,0.273,NA,NA,11
1975,0.924,6101,VS,8
1979,0.923,6101,VS,8
1983,0.919,6101,VS,8
1987,0.881,6101,VS,8
1991,0.854,6101,VS,8
1995,0.822,6101,VS,8
1999,0.744,6101,VS,8
2003,0.671,6101,VS,8
2007,0.645,6101,VS,8
2011,0.844,6101,VS,8
2015,0.736,6101,VS,8
1975,0.519,5742,VD,9
1979,0.513,5742,VD,9
1983,0.48,5742,VD,9
1987,0.515,5742,VD,9
1991,0.448,5742,VD,9
1995,0.304,5742,VD,9
1999,0.384,5742,VD,9
2003,0.238,5742,VD,9
2007,0.418,5742,VD,11
2011,0.343,5742,VD,11
2015,0.324,5742,VD,11
1975,0.398,5141,TI,9
1979,0.372,5141,TI,8
1983,0.373,5141,TI,8
1987,0.436,5141,TI,8
1991,0.322,5141,TI,10
1995,0.272,5141,TI,8
1999,0.285,5141,TI,8
2003,0.271,5141,TI,9
2007,0.254,5141,TI,8
2011,0.242,5141,TI,10
2015,0.301,5141,TI,10
1979,0.875,NA,NA,8
1983,0.909,NA,NA,8
1987,0.959,NA,NA,8
1991,0.924,NA,NA,8
2007,0.955,NA,NA,8
2011,0.706,NA,NA,8
2015,0.628,NA,NA,8
1999,0.874,NA,NA,8
1975,0.281,5401,VD,2
1979,0.324,5401,VD,9
1983,0.364,5401,VD,9
1987,0.35,5401,VD,9
1991,0.265,5401,VD,9
1995,0.3,5401,VD,9
1999,0.328,5401,VD,9
2003,0.235,5401,VD,9
2007,0.243,5401,VD,9
2011,0.284,5401,VD,9
2015,0.35,5401,VD,9
1975,0.325,6601,GE,8
1979,0.319,6601,GE,8
1983,0.27,6601,GE,8
1987,0.312,6601,GE,8
1991,0.323,6601,GE,8
1995,0.281,6601,GE,8
1999,0.26,6601,GE,9
2003,0.261,6601,GE,8
2007,0.252,6601,GE,11
2011,0.218,6601,GE,11
2015,0.236,6601,GE,11
1975,0.482,5061,TI,8
1979,0.475,5061,TI,8
1983,0.402,5061,TI,9
1987,0.456,5061,TI,8
1991,0.4,5061,TI,8
1995,0.392,5061,TI,8
1999,0.345,5061,TI,8
2003,0.385,5061,TI,8
2007,0.362,5061,TI,8
2011,0.359,5061,TI,8
2015,0.357,5061,TI,8
1975,0.643,1121,LU,8
1979,0.645,1121,LU,8
1983,0.591,1121,LU,8
1987,0.56,1121,LU,8
1991,0.562,1121,LU,8
1995,0.45,1121,LU,8
1999,0.415,1121,LU,8
2003,0.453,1121,LU,8
2007,0.418,1121,LU,8
2011,0.449,1121,LU,8
2015,0.339,1121,LU,11
1975,0.911,6102,VS,8
1979,0.824,6102,VS,8
1983,0.901,6102,VS,8
1987,0.891,6102,VS,8
1991,0.785,6102,VS,8
1995,0.905,6102,VS,8
1999,0.703,6102,VS,8
2003,0.718,6102,VS,8
2007,0.709,6102,VS,8
2011,0.581,6102,VS,8
2015,0.689,6102,VS,8
1975,0.734,3542,GR,8
1979,0.688,3542,GR,8
1983,0.629,3542,GR,8
1987,0.486,3542,GR,8
1991,0.439,3542,GR,8
1995,0.392,3542,GR,8
1999,0.426,3542,GR,8
2003,0.447,3542,GR,8
2007,0.378,3542,GR,8
2011,0.325,3542,GR,8
2015,0.387,3542,GR,8
1975,0.6,402,BE,11
1979,0.613,402,BE,11
1983,0.571,402,BE,11
1987,0.612,402,BE,11
1991,0.504,402,BE,11
1995,0.533,402,BE,11
1999,0.511,402,BE,11
2003,0.504,402,BE,11
2007,0.616,402,BE,11
2011,0.472,402,BE,11
2015,0.482,402,BE,11
1975,0.308,5851,VD,2
1979,0.236,5851,VD,9
1983,0.309,5851,VD,9
1987,0.39,5851,VD,9
1991,0.244,5851,VD,9
1995,0.224,5851,VD,9
1999,0.333,5851,VD,9
2003,0.265,5851,VD,11
2007,0.239,5851,VD,11
2011,0.24,5851,VD,11
2015,0.35,5851,VD,9
1975,0.553,6771,JU,8
1979,0.508,6771,JU,8
1983,0.408,6771,JU,8
1987,0.507,6771,JU,8
1991,0.519,6771,JU,8
1995,0.574,6771,JU,8
1999,0.573,6771,JU,8
2003,0.536,6771,JU,8
2007,0.454,6771,JU,8
2011,0.512,6771,JU,8
2015,0.483,6771,JU,8
1995,0.351,630,BE,11
1999,0.376,630,BE,11
2003,0.343,630,BE,11
2007,0.437,630,BE,11
2011,0.318,630,BE,11
2015,0.398,630,BE,11
1975,0.297,2762,BL,2
1979,0.293,2762,BL,2
1983,0.342,2762,BL,2
1987,0.231,2762,BL,8
1991,0.257,2762,BL,2
1995,0.284,2762,BL,2
1999,0.244,2762,BL,2
2003,0.285,2762,BL,2
2007,0.281,2762,BL,2
2011,0.284,2762,BL,2
2015,0.273,2762,BL,11
1975,0.981,1401,OW,8
1979,0.965,1401,OW,8
1983,0.91,1401,OW,8
1987,0.481,1401,OW,8
1991,0.944,1401,OW,8
1995,0.948,1401,OW,8
2003,0.64,1401,OW,8
2007,0.341,1401,OW,8
2011,0.532,1401,OW,7
2015,0.628,1401,OW,7
1975,0.842,1361,SZ,8
1979,0.881,1361,SZ,8
1983,0.71,1361,SZ,8
1987,0.606,1361,SZ,8
1991,0.468,1361,SZ,8
1995,0.38,1361,SZ,11
1999,0.596,1361,SZ,11
2003,0.635,1361,SZ,11
2007,0.666,1361,SZ,11
2011,0.529,1361,SZ,11
2015,0.728,1361,SZ,11
1975,0.527,1122,LU,8
1979,0.551,1122,LU,8
1983,0.557,1122,LU,8
1987,0.496,1122,LU,8
1991,0.541,1122,LU,8
1995,0.451,1122,LU,8
1999,0.564,1122,LU,8
2003,0.392,1122,LU,8
2007,0.392,1122,LU,8
2011,0.326,1122,LU,8
2015,0.313,1122,LU,11
1975,0.772,1201,UR,9
1979,0.397,1201,UR,9
1983,0.815,1201,UR,9
1987,0.881,1201,UR,9
1991,0.913,1201,UR,9
1995,0.839,1201,UR,9
1999,0.817,1201,UR,9
2003,0.405,1201,UR,9
2007,0.848,1201,UR,9
2011,0.7,1201,UR,9
2015,0.401,1201,UR,3
1975,0.426,1341,SZ,8
1979,0.505,1341,SZ,8
1983,0.564,1341,SZ,8
1987,0.59,1341,SZ,8
1991,0.313,1341,SZ,8
1995,0.303,1341,SZ,8
1999,0.359,1341,SZ,11
2003,0.459,1341,SZ,11
2007,0.471,1341,SZ,11
2011,0.41,1341,SZ,11
2015,0.483,1341,SZ,11
1975,0.655,2291,FR,8
1979,0.509,2291,FR,8
1983,0.46,2291,FR,8
1987,0.449,2291,FR,8
1991,0.371,2291,FR,8
1995,0.319,2291,FR,8
1999,0.389,2291,FR,8
2003,0.29,2291,FR,8
2007,0.258,2291,FR,8
2011,0.238,2291,FR,11
2015,0.336,2291,FR,11
1975,0.754,211,ZH,11
1979,0.755,211,ZH,11
1983,0.664,211,ZH,11
1987,0.663,211,ZH,11
1991,0.606,211,ZH,11
1995,0.624,211,ZH,11
1999,0.645,211,ZH,11
2003,0.665,211,ZH,11
2007,0.628,211,ZH,11
2011,0.496,211,ZH,11
2015,0.528,211,ZH,11
1975,0.763,1123,LU,8
1979,0.731,1123,LU,8
1983,0.761,1123,LU,8
1987,0.707,1123,LU,8
1991,0.718,1123,LU,8
1995,0.621,1123,LU,8
1999,0.661,1123,LU,8
2003,0.599,1123,LU,8
2007,0.595,1123,LU,8
2011,0.526,1123,LU,8
2015,0.525,1123,LU,8
1975,0.431,4641,TG,11
1979,0.453,4641,TG,11
1983,0.349,4641,TG,11
1987,0.336,4641,TG,11
1991,0.349,4641,TG,11
1995,0.357,4641,TG,11
1999,0.337,4641,TG,11
2003,0.357,4641,TG,11
2007,0.387,4641,TG,11
2011,0.384,4641,TG,11
2015,0.367,4641,TG,11
1975,0.407,5237,TI,9
1979,0.39,5237,TI,9
1983,0.362,5237,TI,9
1987,0.387,5237,TI,9
1991,0.31,5237,TI,9
1995,0.338,5237,TI,9
1999,0.311,5237,TI,9
2003,0.309,5237,TI,9
2007,0.3,5237,TI,9
2011,0.237,5237,TI,8
2015,0.21,5237,TI,8
1975,0.597,3251,SG,8
1979,0.553,3251,SG,8
1983,0.533,3251,SG,8
1987,0.56,3251,SG,8
1991,0.455,3251,SG,8
1995,0.344,3251,SG,8
1999,0.348,3251,SG,8
2003,0.365,3251,SG,11
2007,0.415,3251,SG,11
2011,0.349,3251,SG,11
2015,0.406,3251,SG,11
1975,0.897,1022,LU,8
1979,0.755,1022,LU,8
1983,0.716,1022,LU,8
1987,0.635,1022,LU,8
1991,0.585,1022,LU,8
1995,0.508,1022,LU,8
1999,0.352,1022,LU,8
2003,0.325,1022,LU,8
2007,0.293,1022,LU,8
2011,0.336,1022,LU,11
2015,0.324,1022,LU,11
1975,0.816,3311,SG,8
1979,0.718,3311,SG,8
1983,0.727,3311,SG,8
1987,0.678,3311,SG,8
1991,0.598,3311,SG,8
1995,0.647,3311,SG,8
1999,0.364,3311,SG,8
2003,0.39,3311,SG,11
2007,0.418,3311,SG,11
2011,0.366,3311,SG,11
2015,0.465,3311,SG,11
1975,0.625,4881,TG,11
1979,0.558,4881,TG,11
1983,0.562,4881,TG,11
1987,0.493,4881,TG,11
1991,0.376,4881,TG,11
1995,0.429,4881,TG,11
1999,0.544,4881,TG,11
2003,0.607,4881,TG,11
2007,0.579,4881,TG,11
2011,0.481,4881,TG,11
2015,0.523,4881,TG,11
1975,0.437,4191,AG,11
1979,0.44,4191,AG,11
1983,0.384,4191,AG,2
1987,0.353,4191,AG,11
1991,0.321,4191,AG,11
1995,0.279,4191,AG,11
1999,0.378,4191,AG,11
2003,0.431,4191,AG,11
2007,0.404,4191,AG,11
2011,0.382,4191,AG,11
2015,0.451,4191,AG,11
1975,0.254,4461,TG,2
1979,0.269,4461,TG,2
1983,0.237,4461,TG,8
1987,0.252,4461,TG,9
1991,0.2,4461,TG,8
1995,0.209,4461,TG,2
1999,0.305,4461,TG,11
2003,0.39,4461,TG,11
2007,0.409,4461,TG,11
2011,0.39,4461,TG,11
2015,0.4,4461,TG,11
1975,0.455,921,BE,11
1979,0.6,921,BE,11
1983,0.444,921,BE,11
1987,0.403,921,BE,11
1991,0.398,921,BE,11
1995,0.394,921,BE,11
1999,0.413,921,BE,11
2003,0.474,921,BE,11
2007,0.491,921,BE,11
2011,0.46,921,BE,11
2015,0.474,921,BE,11
1975,0.518,3701,GR,11
1979,0.392,3701,GR,11
1983,0.389,3701,GR,11
1987,0.356,3701,GR,11
1991,0.332,3701,GR,11
1995,0.441,3701,GR,11
1999,0.481,3701,GR,11
2003,0.475,3701,GR,11
2007,0.476,3701,GR,11
2011,0.405,3701,GR,6
2015,0.263,3701,GR,6
1975,0.378,30,ZH,11
1979,0.352,30,ZH,11
1983,0.296,30,ZH,11
1987,0.335,30,ZH,11
1991,0.343,30,ZH,11
1995,0.348,30,ZH,11
1999,0.429,30,ZH,11
2003,0.403,30,ZH,11
2007,0.398,30,ZH,11
2011,0.36,30,ZH,11
2015,0.341,30,ZH,11
1975,0.764,1202,UR,9
1979,0.412,1202,UR,7
1983,0.903,1202,UR,9
1987,0.891,1202,UR,9
1991,0.947,1202,UR,9
1995,0.912,1202,UR,9
1999,0.879,1202,UR,9
2003,0.509,1202,UR,9
2007,0.901,1202,UR,9
2011,0.832,1202,UR,9
2015,0.681,1202,UR,8
1975,0.929,3611,GR,8
1979,0.966,3611,GR,8
1983,0.881,3611,GR,8
1987,0.768,3611,GR,8
1991,0.582,3611,GR,8
1995,0.556,3611,GR,8
1999,0.712,3611,GR,8
2003,0.64,3611,GR,8
2007,0.421,3611,GR,9
2011,0.386,3611,GR,8
2015,0.494,3611,GR,8
1975,0.748,3441,SG,8
1979,0.683,3441,SG,8
1983,0.733,3441,SG,8
1987,0.634,3441,SG,8
1991,0.567,3441,SG,8
1995,0.525,3441,SG,8
1999,0.401,3441,SG,8
2003,0.338,3441,SG,8
2007,0.38,3441,SG,11
2011,0.331,3441,SG,11
2015,0.342,3441,SG,11
1975,0.289,6602,GE,9
1979,0.429,6602,GE,9
1983,0.368,6602,GE,9
1987,0.349,6602,GE,9
1991,0.403,6602,GE,9
1995,0.364,6602,GE,9
1999,0.396,6602,GE,9
2003,0.324,6602,GE,9
2007,0.285,6602,GE,9
2011,0.354,6602,GE,9
2015,0.395,6602,GE,9
1975,0.672,6252,VS,8
1979,0.75,6252,VS,8
1983,0.744,6252,VS,8
1987,0.711,6252,VS,8
1991,0.768,6252,VS,8
1995,0.731,6252,VS,8
1999,0.563,6252,VS,8
2003,0.549,6252,VS,8
2007,0.502,6252,VS,8
2011,0.36,6252,VS,8
2015,0.395,6252,VS,8
1975,0.636,2841,BL,11
1979,0.388,2841,BL,11
1983,0.44,2841,BL,11
1987,0.429,2841,BL,11
1991,0.392,2841,BL,11
1995,0.348,2841,BL,11
1999,0.362,2841,BL,11
2003,0.371,2841,BL,11
2007,0.402,2841,BL,11
2011,0.303,2841,BL,11
2015,0.367,2841,BL,11
1975,0.988,3101,AI,8
1979,0.984,3101,AI,8
1983,0.973,3101,AI,8
1987,0.923,3101,AI,8
1991,0.991,3101,AI,8
1995,0.878,3101,AI,8
1999,0.759,3101,AI,8
2003,0.693,3101,AI,8
2007,0.845,3101,AI,8
2011,0.753,3101,AI,8
2015,0.718,3101,AI,8
1975,0.25,5421,VD,9
1979,0.277,5421,VD,9
1983,0.29,5421,VD,9
1987,0.249,5421,VD,9
1991,0.252,5421,VD,9
1995,0.252,5421,VD,9
1999,0.212,5421,VD,2
2003,0.193,5421,VD,2
2007,0.218,5421,VD,11
2011,0.23,5421,VD,2
2015,0.294,5421,VD,9
1975,0.447,5143,TI,9
1979,0.505,5143,TI,9
1983,0.428,5143,TI,9
1987,0.367,5143,TI,9
1991,0.348,5143,TI,8
1995,0.352,5143,TI,8
1999,0.37,5143,TI,8
2003,0.306,5143,TI,2
2007,0.263,5143,TI,2
2011,0.284,5143,TI,8
2015,0.277,5143,TI,2
1975,0.595,6261,VS,8
1979,0.586,6261,VS,8
1983,0.665,6261,VS,8
1987,0.693,6261,VS,8
1991,0.637,6261,VS,8
1995,0.492,6261,VS,8
1999,0.469,6261,VS,8
2003,0.406,6261,VS,8
2007,0.424,6261,VS,8
2011,0.358,6261,VS,8
2015,0.354,6261,VS,8
1975,0.41,5001,TI,9
1979,0.384,5001,TI,9
1983,0.387,5001,TI,9
1987,0.364,5001,TI,9
1991,0.335,5001,TI,9
1995,0.342,5001,TI,9
1999,0.297,5001,TI,9
2003,0.336,5001,TI,2
2007,0.305,5001,TI,9
2011,0.28,5001,TI,9
2015,0.25,5001,TI,9
1975,0.296,2881,BL,7
1979,0.274,2881,BL,2
1983,0.412,2881,BL,11
1987,0.296,2881,BL,9
1991,0.406,2881,BL,9
1995,0.282,2881,BL,7
1999,0.251,2881,BL,11
2003,0.463,2881,BL,11
2007,0.433,2881,BL,11
2011,0.394,2881,BL,11
2015,0.463,2881,BL,11
1975,0.391,4401,TG,2
1979,0.443,4401,TG,2
1983,0.362,4401,TG,2
1987,0.304,4401,TG,2
1991,0.316,4401,TG,2
1995,0.335,4401,TG,2
1999,0.275,4401,TG,2
2003,0.355,4401,TG,11
2007,0.374,4401,TG,11
2011,0.313,4401,TG,11
2015,0.336,4401,TG,11
1975,0.357,381,BE,11
1979,0.361,381,BE,2
1983,0.315,381,BE,11
1987,0.334,381,BE,11
1991,0.27,381,BE,11
1995,0.267,381,BE,11
1999,0.344,381,BE,11
2003,0.433,381,BE,11
2007,0.506,381,BE,11
2011,0.356,381,BE,11
2015,0.46,381,BE,11
1975,0.413,2171,FR,8
1979,0.441,2171,FR,2
1983,0.373,2171,FR,8
1987,0.376,2171,FR,8
1991,0.444,2171,FR,8
1995,0.312,2171,FR,8
1999,0.262,2171,FR,8
2003,0.236,2171,FR,8
2007,0.317,2171,FR,2
2011,0.383,2171,FR,2
2015,0.279,2171,FR,2
1975,0.634,6021,VS,8
1979,0.648,6021,VS,8
1983,0.601,6021,VS,8
1987,0.639,6021,VS,8
1991,0.564,6021,VS,8
1995,0.578,6021,VS,8
1999,0.496,6021,VS,8
2003,0.411,6021,VS,8
2007,0.406,6021,VS,9
2011,0.338,6021,VS,8
2015,0.369,6021,VS,8
1975,0.392,2821,BL,11
1979,0.365,2821,BL,11
1983,0.301,2821,BL,2
1987,0.315,2821,BL,11
1991,0.273,2821,BL,9
1995,0.22,2821,BL,11
1999,0.285,2821,BL,11
2003,0.374,2821,BL,11
2007,0.426,2821,BL,11
2011,0.409,2821,BL,11
2015,0.439,2821,BL,11
1975,0.593,4222,AG,8
1979,0.573,4222,AG,8
1983,0.551,4222,AG,8
1987,0.411,4222,AG,8
1991,0.302,4222,AG,8
1995,0.28,4222,AG,8
1999,0.295,4222,AG,11
2003,0.291,4222,AG,8
2007,0.337,4222,AG,11
2011,0.321,4222,AG,11
2015,0.467,4222,AG,11
1975,0.309,2763,BL,9
1979,0.345,2763,BL,9
1983,0.288,2763,BL,9
1987,0.274,2763,BL,9
1991,0.302,2763,BL,9
1995,0.258,2763,BL,9
1999,0.272,2763,BL,9
2003,0.248,2763,BL,9
2007,0.244,2763,BL,2
2011,0.243,2763,BL,2
2015,0.221,2763,BL,3
1975,0.786,5701,VD,9
1979,0.668,5701,VD,9
1983,0.663,5701,VD,9
1987,0.777,5701,VD,9
1991,0.504,5701,VD,9
1995,0.496,5701,VD,9
1999,0.716,5701,VD,9
2003,0.27,5701,VD,9
2007,0.292,5701,VD,11
2011,0.324,5701,VD,9
2015,0.395,5701,VD,9
1975,0.548,5743,VD,9
1979,0.488,5743,VD,9
1983,0.482,5743,VD,9
1987,0.452,5743,VD,9
1991,0.398,5743,VD,9
1995,0.312,5743,VD,9
1999,0.37,5743,VD,9
2003,0.255,5743,VD,11
2007,0.264,5743,VD,11
2011,0.282,5743,VD,2
2015,0.312,5743,VD,11
1975,0.495,4061,AG,8
1979,0.491,4061,AG,8
1983,0.433,4061,AG,8
1987,0.266,4061,AG,8
1991,0.202,4061,AG,8
1995,0.222,4061,AG,8
1999,0.327,4061,AG,11
2003,0.318,4061,AG,11
2007,0.382,4061,AG,11
2011,0.35,4061,AG,11
2015,0.392,4061,AG,11
1975,0.762,602,BE,11
1979,0.781,602,BE,11
1983,0.737,602,BE,11
1987,0.686,602,BE,11
1991,0.629,602,BE,11
1995,0.633,602,BE,11
1999,0.538,602,BE,11
2003,0.552,602,BE,11
2007,0.616,602,BE,11
2011,0.527,602,BE,11
2015,0.595,602,BE,11
1975,0.517,5144,TI,9
1979,0.474,5144,TI,9
1983,0.493,5144,TI,9
1987,0.421,5144,TI,9
1991,0.305,5144,TI,9
1995,0.337,5144,TI,9
1999,0.296,5144,TI,9
2003,0.385,5144,TI,2
2007,0.305,5144,TI,9
2011,0.267,5144,TI,9
2015,0.295,5144,TI,10
1975,0.377,3921,GR,11
1979,0.344,3921,GR,9
1983,0.324,3921,GR,11
1987,0.309,3921,GR,9
1991,0.284,3921,GR,11
1995,0.353,3921,GR,11
1999,0.308,3921,GR,11
2003,0.443,3921,GR,11
2007,0.517,3921,GR,11
2011,0.288,3921,GR,6
2015,0.374,3921,GR,11
1975,0.522,1362,SZ,8
1979,0.465,1362,SZ,8
1983,0.487,1362,SZ,8
1987,0.362,1362,SZ,8
1991,0.285,1362,SZ,8
1995,0.268,1362,SZ,8
1999,0.36,1362,SZ,8
2003,0.389,1362,SZ,11
2007,0.388,1362,SZ,11
2011,0.356,1362,SZ,11
2015,0.383,1362,SZ,11
1975,0.303,5702,VD,9
1979,0.309,5702,VD,9
1983,0.347,5702,VD,9
1987,0.285,5702,VD,9
1991,0.279,5702,VD,9
1995,0.248,5702,VD,9
1999,0.213,5702,VD,9
2003,0.251,5702,VD,11
2007,0.275,5702,VD,11
2011,0.312,5702,VD,11
2015,0.296,5702,VD,11
1975,0.464,5091,TI,9
1979,0.357,5091,TI,9
1983,0.447,5091,TI,9
1987,0.411,5091,TI,9
1991,0.308,5091,TI,9
1995,0.283,5091,TI,9
1999,0.267,5091,TI,9
2003,0.312,5091,TI,9
2007,0.322,5091,TI,9
2011,0.296,5091,TI,9
